Brand,SKU,Key
SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,14
SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,15
BLUE POINT TOASTED,6 Pk 12 Oz Glass,18
MAGIC HAT,6 Pk 12 Oz Glass,19
BROOKLYN PILSNER,6 Pk 12 Oz Glass,16
BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,20
BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,17
CORONA EXTRA,6 Pk 12 Oz Glass,1
CORONA EXTRA,6 Pk 12 Oz Glass,1
CORONA LIGHT,6 Pk 12 Oz Glass,2
STELLA ARTOIS,6 Pk 11.2 Oz Glass,3
STELLA ARTOIS,6 Pk 11.2 Oz Glass,3
LEFFE BLONDE,6 Pk 11.2 Oz Glass,4
HOEGAARDEN,6 Pk 11.2 Oz Glass,6
BECKS,6 Pk 12 Oz Glass,5
MILLER LITE,6 Pk 12 Oz Glass,7
COORS LIGHT,6 Pk 12 Oz Glass,11
BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,9
BUD LIGHT,6 Pk 12 Oz Glass,8
BUDWEISER,6 Pk 12 Oz Glass,10
MILLER LITE,12 Pk 12 Oz Glass,12
MILLER LITE,12 Pk 12 Oz Can,13
